type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
UI设计师,UI设计师,南京·建邺区·奥体,7-12K,经验不限学历不限,爱自游,互联网不需要融资20-99人,UI 网页设计 网页交互, 赵先生,节日福利，夜班补助，带薪年假，团建聚餐，全勤奖，绩效奖金，五险一金，零食下午茶，员工旅游
UI设计师,UI设计师,合肥·包河区·芜湖路,8-13K,经验不限学历不限,徽商期货,证券/期货不需要融资100-499人,交互设计 移动端 客户端 HTML 不接受居家办公, 徐先生,年终奖，餐补，加班补助，通讯补贴，交通补助，节日福利，五险一金，定期体检，带薪年假
UI设计师,ui设计师,上饶,6-8K,经验不限学历不限,上饶高投智城科技,互联网不需要融资0-20人,交互设计 原型设计 移动端 网页端 客户端 AI PS UE4, 邓先生,五险一金
UI设计师,ui设计师,徐州·云龙区·新城区,5-8K,经验不限学历不限,徐州前沿智能科技,通信/网络设备0-20人,客户端 游戏端 三维设计 平面设计 界面设计 U3D AE, 牛女士,员工旅游，节日福利，带薪年假，加班补助，全勤奖，定期体检
UI设计师,ui设计师,昆明·官渡区·新亚洲体育城,4-9K,经验不限学历不限,十维数科,互联网不需要融资20-99人,交互设计 原型设计 视觉设计 客户端 移动端 网页端 三维设计 动效设计 平面设计 图标设计 切图和标注 界面设计, 杨先生,夜班补助，通讯补贴，加班补助，有无线网，绩效奖金，全勤奖，底薪加提成，保底工资，交通补助，年终奖
UI设计师,UI设计师,莆田,6-12K,经验不限学历不限,不凡网络科技有限公司,互联网不需要融资0-20人,UI 平面设计 美工, 傅先生,员工旅游，零食下午茶
UI设计师,UI设计师,东莞·虎门镇·虎门万达广场,4-6K,经验不限学历不限,志城网络科技,移动互联网未融资0-20人,交互体验设计 CorelDRAW 人工智能 动画动漫 平面设计 UI设计, 朱先生,五险一金，补充医疗保险，定期体检
UI设计师,UI设计师,青岛·黄岛区·长江路,3-6K,经验不限学历不限,秦剑博古,其他行业不需要融资0-20人,美工 网页设计 平面设计, 马先生, 
UI设计师,UI设计师,厦门·思明区·富山,6-11K,经验不限学历不限,金相玉式,大数据天使轮20-99人,交互设计 移动端设计 原型设计, 何先生,五险一金，带薪年假
UI设计师,UI设计师,连云港·海州区·朝阳路,4-8K,经验不限学历不限,江苏新元素,互联网0-20人,视觉设计 原型设计 全职兼职均可 交互设计 交互体验设计 UI设计, 颜先生,团建聚餐，员工旅游，生日福利，节日福利，加班补助，年终奖
UI设计师,UI设计师,晋中·榆次区·定阳路,3-6K,经验不限学历不限,风华正茂,O2O未融资0-20人,网页设计 视觉设计 移动端 小程序 动效设计 交互体验设计 UI设计 美工, 王先生,五险一金，包吃，节日福利
UI设计师,UI设计师,沧州·运河区·沧县高铁汽车站,4-5K,经验不限学历不限,讯铭信息技术有限公司,计算机软件20-99人,网页设计 平面设计 UI设计 交互体验设计 动效设计 视觉设计, 孙先生, 
UI设计师,UI设计师,石家庄·桥西区·新石北路,4-9K,经验不限学历不限,河北圣诺联合,计算机软件未融资20-99人,交互设计 原型设计 视觉设计, 何先生,节日福利，零食下午茶
UI设计师,UI设计师,合肥·蜀山区·环湖东路,4-7K,经验不限学历不限,展瑞科技,计算机软件0-20人,UI CAD/制图 App设计, 王先生, 
UI设计师,ui设计师,宁波·鄞州区·钟公庙,5-6K,经验不限学历不限,宁波生知道电子商务,电子商务0-20人,交互设计 视觉设计 客户端 移动端 动效设计 平面设计 图标设计 切图和标注 界面设计 AI PS 爱学习、能吃苦、独立思考 效率高、有耐心、细心 风格唯美、清新、文艺, 王先生, 
UI设计师,UI设计师,石家庄·新乐市·新乐市中心城区,4-7K·13薪,经验不限学历不限,精益有容,移动互联网未融资20-99人,视觉设计 手绘 PhotoShop Dreamweaver CorelDRAW Fireworks UI设计 平面设计, 王女士,加班补助，五险一金，餐补，带薪年假，年终奖
UI设计师,UI设计师,南京·江宁区·开发区,10-15K,经验不限学历不限,新智合电力,计算机软件未融资100-499人,Axure 大屏, 查女士,零食下午茶，餐补，定期体检，节日福利，员工旅游，出差补贴，五险一金，带薪年假，加班补助，年终奖
UI设计师,UI设计师,扬州,5-8K,经验不限学历不限,江苏茗鹤,计算机软件未融资20-99人,视觉设计 UI设计 网页设计 PhotoShop 全职 平面设计 Dreamweaver 设计师, 基先生,员工旅游，全勤奖，生日福利，带薪年假，交通补助，团建聚餐，五险一金，加班补助，年终奖
UI设计师,UI设计师,太原·小店区·亲贤北街,2-4K,经验不限学历不限,山西创欣丰网络,电子商务不需要融资20-99人,UI App设计 电商美工, 张先生, 
UI设计师,UI设计师,台州·椒江区·椒江万达,3-5K,经验不限学历不限,易允,计算机软件未融资20-99人,移动端 视觉设计 界面设计 PS UI 交互体验设计, 余女士,全勤奖，股票期权，五险，加班补助，员工旅游，年终奖，零食下午茶
UI设计师,ui设计师,丽江·古城区·丽江古城,5-6K,经验不限学历不限,角兽营数字科技,移动互联网20-99人,交互设计 原型设计 客户端 移动端 平面设计 图标设计 不接受居家办公, 王先生, 
UI设计师,UI设计师,广州·天河区·棠下,10-15K,经验不限学历不限,鲸奇科技,社交网络天使轮20-99人,交互设计 原型设计 移动端 动效设计 界面设计 图标设计 切图和标注 PS, 汤先生,生日福利，节日福利，五险一金，餐补，夜班补助，绩效奖金，年终奖，定期体检，带薪年假
