type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
java工程师,Java工程师,哈尔滨·南岗区·开发区,5-10K,5-10年本科,华云合创,互联网B轮20-99人,软件工程师, 刘先生,五险一金，节日福利，定期体检，餐补，交通补助，员工旅游，带薪年假
java工程师,java工程师,长沙·开福区·青竹湖,20-30K,5-10年本科,老百姓大药房,医疗健康已上市10000人以上,Java Spring MySQL 不接受居家办公, 陈女士,包吃，节假日加班费，节日福利，通讯补贴，法定节假日三薪，员工旅游，全勤奖，免费班车，年终奖，宿舍有空调，带薪年假，五险一金，包住，生日福利，交通补助，餐补，补充医疗保险，定期体检
java工程师,java工程师,长沙·岳麓区·麓谷,15-30K,5-10年本科,华为技术有限公司,计算机软件不需要融资10000人以上,后端工程师 Java, 詹先生,五险一金，免费班车，年终奖，节日福利，加班补助，带薪年假，股票期权，离职补偿，员工旅游，住房补贴，零食下午茶，通讯补贴，全勤奖，定期体检，交通补助，补充医疗保险，餐补
java工程师,java工程师,青岛·李沧区·双埠,8-12K,5-10年本科,青岛石化检安,石油/石化1000-9999人,java 框架 jeecg, 张女士,年终奖，补充医疗保险，五险一金，定期体检，节日福利，员工旅游，带薪年假，免费班车
java工程师,java工程师,北京·丰台区·纪家庙,15-20K,5-10年本科,创志凌云,在线教育不需要融资20-99人,后端工程师 Java Spring MySQL 计算机/软件工程相关经验 Java开发经验  1、计算机及其相关专业，本科及其以上学, 张女士, 
java工程师,java工程师,成都·武侯区·武侯立交,10-15K,5-10年本科,中创云讯,企业服务A轮20-99人,Java, 万女士,带薪年假，五险一金，年终奖，零食下午茶，节日福利，全勤奖
java工程师,Java工程师,成都·武侯区·新会展中心,6-11K,5-10年本科,成都耘云,计算机软件不需要融资20-99人,网络编程 多线程 架构师 Spring Dubbo SVN GIT NoSQL, 何女士,补充医疗保险，节日福利，五险一金，加班补助，零食下午茶，带薪年假，股票期权，年终奖，交通补助
java工程师,Java工程师,杭州·西湖区·西溪,28-55K·16薪,5-10年本科,蚂蚁集团,互联网D轮及以上10000人以上,后端工程师 Java 计算机/软件工程相关经验 Java开发经验 分布式系统开发经验, 黄先生,零食下午茶，包吃，股票期权，交通补助，定期体检，全勤奖，加班补助，餐补，住房补贴，五险一金，免费班车，带薪年假，年终奖，员工旅游，通讯补贴，节日福利
java工程师,java工程师,长沙·岳麓区·涉外经济学院,6-8K,5-10年本科,华创科技,移动互联网不需要融资100-499人,SQL HTML CSS MVC开发 Spring Oracle MySQL SQL Server, 林女士,节日福利，员工旅游，加班补助，定期体检，带薪年假，年终奖，零食下午茶，五险一金
java工程师,java工程师,北京·海淀区·上地,25-50K·16薪,5-10年本科,快手,社交网络与媒体已上市10000人以上,后端工程师 Java, 华先生,年终奖，补充医疗保险，五险一金，定期体检，节日福利，股票期权，带薪年假
