type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
全栈工程师,全栈开发工程师,深圳·南山区·科技园,12-18K,3-5年本科,汇信昌,装修装饰未融资100-499人,全栈无侧重 Java Python MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验, 唐女士,五险一金，春节超长假期，意外险，股票期权，员工旅游，零食下午茶，有无线网，节日福利，带薪年假
全栈工程师,全栈开发工程师,长沙·长沙县·星沙通程广场,5-8K,3-5年本科,硕年信息,互联网20-99人,全栈侧重前端 Vue Java Spring/Spring Boot MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验 tomcat element ui linux  Nginx, 贺女士,带薪年假，免费班车，五险一金，员工旅游，年终奖，交通补助，节日福利
全栈工程师,全栈开发工程师,西安·未央区·张家堡,15-20K·13薪,3-5年本科,陕西佳坤智联网络科技,互联网20-99人,全栈侧重后端 Java C/C++ 计算机相关专业 全栈项目经验, 汪女士,年终奖，五险一金
全栈工程师,全栈开发工程师,惠州·惠城区·江北,7-10K,3-5年本科,聚美科技,通信/网络设备天使轮20-99人,全栈侧重前端 React Angular Node.js PHP Python 全栈项目经验 英语读写能力良好 前端开发经验 web SaaS系统 uniapp, 罗先生,五险，生日福利，团建，团建聚餐，全勤奖，年终奖，零食下午茶，通讯补贴，交通补助
全栈工程师,全栈开发工程师（广州）,广州·天河区·小新塘,12-15K,3-5年本科,思迈特软件,计算机软件C轮500-999人,全栈侧重前端 全栈侧重后端 JavaScript HTML CSS Java 全栈项目经验 前端开发经验 计算机相关专业, 权女士,补充医疗保险，通讯补贴，定期体检，加班补助，员工旅游，零食下午茶，股票期权，带薪年假，节日福利，五险一金，交通补助，年终奖
全栈工程师,高级全栈开发工程师,北京·海淀区·五道口,25-50K·14薪,3-5年本科,斯伦贝谢,石油/石化已上市1000-9999人,全栈无侧重 Angular .NET 英语读写能力良好, 代先生,带薪年假，定期体检，五险一金，股票期权，节日福利，补充医疗保险，零食下午茶
全栈工程师,全栈开发工程师,北京·海淀区·东小口,22-28K,3-5年本科,云道智造,计算机软件B轮100-499人,Webpack 全栈 Node.js SQL TypeScript HTML CSS Vue, 秦女士,股票期权，免费班车，补充医疗保险，年终奖，节日福利，五险一金，加班福利，零食下午茶，带薪年假，定期体检，公租房，博士后工作站，员工旅游
全栈工程师,高级全栈开发工程师,南京·江宁区·秣陵,15-30K·14薪,3-5年本科,南京宏景安网络科...,计算机软件天使轮20-99人,Java CSS Spring/Spring Boot JavaScript 全栈侧重前端 MySQL/Redis/MongoDB React 前端开发经验 全栈项目经验, 孙先生,五险一金，加班补助，年终奖，零食下午茶
全栈工程师,实习全栈开发工程师,北京·海淀区·清河,150-200元/天,3-5年本科,怡美利康,移动互联网未融资0-20人,Java HTML CSS PHP, 王先生, 
全栈工程师,全栈开发工程师,北京·朝阳区·CBD,280-400元/天,3-5年本科,上海氚道网络科技,互联网金融不需要融资100-499人,TypeScript 后端开发经验 全栈侧重后端 Vue JavaScript Node.js 计算机相关专业 MySQL/Redis/MongoDB 全栈项目经验, 万女士,绩效奖金，五险一金，员工旅游，节日福利，生日福利，定期体检，带薪年假，团建聚餐，年终奖，餐补，零食下午茶，住房补贴
全栈工程师,全栈开发工程师,南宁·良庆区·青山路,6-9K,3-5年本科,广西乐村淘,电子商务不需要融资100-499人,全栈无侧重 JavaScript 全栈项目经验 PHP, 王女士,员工旅游，生日福利，年终奖，底薪加提成，节日福利，高级技术补贴，绩效奖金，五险一金，带薪年假，团建聚餐，青年人才补贴，工龄奖，有无线网，意外险，高级人才补贴
全栈工程师,全栈开发工程师,成都·青羊区·天府广场,8-13K,3-5年本科,交子银通,互联网金融0-20人,Java CSS Spring/Spring Boot 后端开发经验 全栈侧重后端 JavaScript Vue MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验, 伍先生, 
全栈工程师,资深全栈开发工程师,武汉·江夏区·光谷,15-20K·14薪,3-5年本科,金嘉信,计算机软件不需要融资20-99人,TypeScript Angular Spring/Spring Boot 全栈项目经验 后端开发经验, 李女士,餐补，绩效奖金，免费工装，零食下午茶，团建聚餐，定期体检，补充医疗保险，意外险
全栈工程师,全栈开发工程师-thingworx,常州·新北区·璜土镇,10-15K,3-5年本科,普菲特信息科技,计算机软件B轮100-499人,Java SQL 前端开发 Vue Spring SpringMVC Jenkins Thingworx, 胡女士,补充医疗保险，员工旅游，零食下午茶，股票期权，年终奖，定期体检，五险一金，带薪年假，节日福利，全勤奖
全栈工程师,全栈工程师 兼职,大连·甘井子区·高新园区,8-13K,3-5年本科,动见未来,互联网未融资0-20人,全栈侧重后端 全栈无侧重 Vue React PHP Java Python 全栈项目经验, 刘女士,五险一金
全栈工程师,全栈工程师,临沂·兰山区·人民广场,5-8K,3-5年本科,临沂赛捷,移动互联网未融资20-99人,全栈开发, 刘先生, 
全栈工程师,全栈工程师,海口·琼山区·凤翔路,5-10K,3-5年本科,比特象,企业服务未融资0-20人,Spring Redis MySQL 全栈开发 Linux MVC开发 SpringBoot SpringMVC, 严先生,股票期权
全栈工程师,全栈工程师,合肥·蜀山区·高新区,10-15K,3-5年本科,延康医疗,医疗服务未融资0-20人,Java PHP 全栈开发 后端开发 前端开发, 李女士,带薪年假，交通补助，员工旅游，通讯补贴，节日福利，年终奖，全勤奖，餐补，定期体检，五险一金，零食下午茶，住房补贴
全栈工程师,全栈工程师,武汉·洪山区·关山,8-10K,3-5年本科,北京露稀达信息技术,大数据A轮0-20人,全栈侧重后端 Vue Java Python 全栈项目经验 后端开发经验, 郑先生,五险一金，保底工资，底薪加提成，年终奖
全栈工程师,全栈工程师,成都·武侯区·科华北路,15-25K,3-5年本科,Dolcera,大数据100-499人,CSS HTML React Python 全栈项目经验 英语读写能力良好, 熊女士, 
全栈工程师,全栈工程师,北京·朝阳区·太阳宫,25-35K,3-5年本科,北京深度逻辑智能科技,互联网未融资20-99人,TypeScript 后端开发经验 CSS Vue Node.js 全栈侧重前端 MySQL/Redis/MongoDB 前端开发经验 全栈项目经验, 徐女士,股票期权，五险一金
全栈工程师,全栈工程师,南京·雨花台区·铁心桥,12-18K·13薪,3-5年本科,前鹏信息,计算机软件不需要融资20-99人,全栈侧重后端 Vue Java Spring/Spring Boot MySQL/Redis/MongoDB 计算机相关专业 全栈项目经验 后端开发经验, 戴先生,节日福利，年终奖，通讯补贴，防暑降温福利，定期体检，卫生费福利，餐补，六险一金，交通补助，员工旅游，团建活动，其他福利
全栈工程师,全栈工程师,大连·沙河口区·软件园,13-25K·13薪,3-5年本科,大连远思达科技,计算机软件20-99人,HTML Node.js JQuery, 胡女士, 
全栈工程师,全栈工程师,广州·白云区·同德,11-22K,3-5年本科,小趣,电子商务未融资100-499人,PHP Python MySQL/Redis/MongoDB 全栈项目经验 信息流 广告投放系统 头条/广点通/腾讯, 彭女士,月底啤酒趴，转正礼物仪式，年终奖，全勤奖，有无线网，住房补贴，生日福利，团建聚餐，底薪加提成，绩效奖金，节日福利，零食下午茶，员工旅游，保底工资
全栈工程师,全栈工程师,成都·双流区·华阳,6-10K·13薪,3-5年本科,集客宝,旅游天使轮20-99人,Java 全栈开发 后端开发 前端开发 Vue, 李先生,加班补助，定期体检，年终奖，零食下午茶，带薪年假，节日福利，五险一金，股票期权
全栈工程师,全栈工程师,上海,14-20K,3-5年本科,上海识山科技有限公司,计算机软件未融资0-20人,全栈侧重前端 JavaScript Vue React Golang MySQL/Redis/MongoDB C/C++ 全栈项目经验 前端开发经验 后端开发经验, 蒋先生,节日福利，零食下午茶，年终奖，五险一金
全栈工程师,高级全栈工程师,苏州·相城区·元和,12-20K,3-5年本科,苏州麦科斯,计算机软件20-99人,Java 后端开发经验 CSS 全栈开发 全栈侧重后端 JavaScript Vue Node.js HTML 前端开发经验 全栈项目经验 SQL, 许先生,员工旅游，年终奖，通讯补贴，五险一金，带薪年假，加班补助，节日福利，零食下午茶
全栈工程师,全栈工程师,西安·雁塔区·鱼化寨,13-18K·13薪,3-5年本科,西安华为,通信/网络设备未融资10000人以上,全栈侧重后端, 惠先生,员工旅游，有无线网，定期体检，带薪年假，法定节假日三薪，股票期权，加班补助，年终奖，五险一金，补充医疗保险，节日福利，节假日加班费
全栈工程师,全栈工程师,海口·美兰区·国兴,30-35K,3-5年本科,海南净慈科技有限公司,电子商务0-20人,全栈无侧重 全栈项目经验 后端开发经验, 朱先生, 
全栈工程师,全栈工程师,菏泽,6-11K,3-5年本科,东明县聚成光电工...,通信/网络设备未融资20-99人,全栈无侧重 JavaScript Java Python 计算机相关专业 全栈项目经验, 袁女士,宿舍有空调，包住，保底工资，加班补助，五险一金，年终奖，餐补
全栈工程师,java全栈工程师,石家庄·桥西区·维明,8-12K,5-10年本科,中智慧聚,培训/辅导机构未融资0-20人,全栈无侧重 JavaScript CSS Vue Java PHP Spring/Spring Boot 全栈项目经验 前端开发经验 后端开发经验, 高女士,五险一金，定期体检，年终奖，员工旅游
