type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
前端,HTML5 前端,澄迈,6-10K,1-3年大专,决胜科技,文化艺术/娱乐0-20人,前端开发 HTML CSS JavaScript CSS3 HTML5 JQuery Android, 王女士, 
前端,Web 前端,深圳·南山区·前海,20-40K·14薪,1-3年大专,AfterShip,互联网B轮100-499人,JavaScript React Node.js, 欧先生,年终奖，五险一金，零食下午茶，员工旅游，餐补，节日福利，带薪年假，学习基金
前端,Web 前端 Electron 开发,北京·海淀区·上地,10-15K,1-3年大专,北京纽曼腾飞,电子商务未融资100-499人,Python, 花女士, 
前端,前端 WEB开发工程师,西安·雁塔区·高新软件园,20-40K·16薪,1-3年大专,华为,计算机软件不需要融资10000人以上,JavaScript HTML5 Vue 计算机/软件工程相关专业 前端开发经验 技术博客/开源项目有所贡献, 曾先生,年终奖，五险一金，定期体检，加班补助，餐补，股票期权，补充医疗保险，员工旅游，节日福利，零食下午茶
前端,前端 - Web多媒体,北京·海淀区·中关村,25-50K·15薪,1-3年大专,今日头条,互联网未融资10000人以上,前端开发 CSS JavaScript CSS3 ES6 React SDK, 刘先生,年终奖，补充医疗保险，家属自选保险，餐补，法定节假日三薪，免费健身设施，团建聚餐，五险一金，零食下午茶，定期体检，交通补助，股票期权，带薪年假，餐饮及下午茶，年度体检，弹性工作制，就近租房补贴，家庭关爱假，节日礼品，意外险
前端,Vue.js 资深Web 前端,深圳·龙岗区·坂田,14-21K·13薪,1-3年大专,胜军科技,社交网络未融资20-99人,JavaScript Vue HTML5 计算机/软件工程相关专业 前端开发经验 不接受居家办公, 罗先生,包吃
前端,前端 react 开发工程师 (远程/可居家办公),上海·静安区·江宁路,12-18K,1-3年大专,上海兼沛,企业服务不需要融资0-20人,React JavaScript 前端开发经验 接受居家办公, 陈先生,生日福利，保底工资，年终奖，带薪年假，五险一金
前端,前端,济南·历城区·唐冶,6-11K,1-3年大专,北京新致,计算机软件已上市1000-9999人,前端开发经验, 王女士,五险一金，补充医疗保险，节日福利，餐补，加班补助，定期体检，带薪年假
前端,前端,武汉·洪山区·花山,10-14K,1-3年大专,中电金信,计算机软件B轮10000人以上,Vue, 张女士,定期体检，五险一金，补充医疗保险，节日福利
前端,前端,南昌·青云谱区·广州路,8-12K,1-3年大专,小传科技,互联网0-20人,JavaScript HTML5 CSS vue uni-app, 路先生,保底工资，零食下午茶，五险，底薪加提成
前端,前端,北京·昌平区·天通苑,10-15K,1-3年大专,神州通誉,计算机软件未融资1000-9999人,React Vue Java 前端开发经验 计算机/软件工程相关专业, 王女士,五险一金，节日福利，带薪年假，员工旅游
前端,前端,太原·小店区·北营,3-8K,1-3年大专,武汉紫枫叶科技,企业服务未融资0-20人,Vue, 孙先生,五险一金，全勤奖，年终奖
前端,前端,金华·婺城区·东关,10-11K,1-3年大专,浙江省公众信息产业,计算机软件20-99人,JavaScript, 左先生,节日福利，员工旅游，通讯补贴，底薪加提成，五险一金，餐补，意外险，保底工资，定期体检，带薪年假，有无线网
前端,前端,西安·雁塔区·科技路西口,5-8K,1-3年大专,美中居,电子商务天使轮20-99人,JavaScript CSS Vue 计算机/软件工程相关专业 前端开发经验 不接受居家办公 CSS Vue javascript uni-app, 白先生,绩效奖金，五险一金，补充医疗保险，保底工资，节日福利，定期体检
前端,前端,邯郸·丛台区·联纺,5-8K·13薪,1-3年大专,雨辰同瑞信息科技,计算机软件不需要融资20-99人,前端开发 HTML CSS JavaScript ES6 Vue MVC开发, 郭女士,有无线网，餐补，零食下午茶，带薪年假，年终奖，团建聚餐，高温补贴，员工旅游，节日福利，免费工装，交通补助
前端,前端,商洛·柞水县·乾佑街北段,60-65元/时,1-3年大专,柞水县乾佑山城通讯,通信/网络设备0-20人,React Vue Node.js, 刘女士, 
前端,前端,长春·南关区·净月开发区,5-10K,1-3年大专,金恒股份,咨询未融资100-499人,JavaScript, 刘女士,节日福利，五险一金
前端,前端,西安·长安区·韦曲,5-10K,1-3年大专,优浮智创,互联网天使轮0-20人,前端开发 JavaScript HTML CSS Vue React, 郭女士, 
前端,前端,成都·成华区·龙潭,4-9K,1-3年大专,华云乾库,大数据20-99人,HTML 移动端, 易女士,五险
前端,前端,太原·小店区·平阳,5-7K,1-3年大专,搜图科技,计算机软件0-20人,Web端 前端开发, 李女士, 
前端,前端,黄冈,4-5K,1-3年大专,凝聚环保,环保未融资0-20人,小程序 JavaScript CSS Vue, 姜先生,年终奖，股票期权，交通补助，包吃，零食下午茶
