type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
大数据工程师,大数据工程师,杭州·滨江区·长河,65-95K·16薪,在校/应届博士,华为技术有限公司,计算机软件不需要融资10000人以上,Java Python 计算机相关专业 数学/统计相关专业 大数据开发经验, 李先生,全勤奖，补充医疗保险，股票期权，加班补助，零食下午茶，餐补，通讯补贴，住房补贴，员工旅游，免费班车，定期体检，年终奖，五险一金，节日福利，离职补偿，带薪年假，交通补助
大数据工程师,大数据工程师,长沙·天心区·侯家塘,15-20K,在校/应届博士,财信数科,企业服务不需要融资100-499人,数学/统计相关专业 大数据技术, 李女士, 
大数据工程师,大数据工程师,嘉兴·海盐县·朝阳路,8-10K,在校/应届博士,武汉数字堂,计算机软件未融资20-99人,SQL Java Python CSS MySQL Oracle, 戴女士,年终奖，五险一金，员工旅游，零食下午茶，节日福利
大数据工程师,大数据工程师,南京·江宁区·秣陵,11-20K,在校/应届博士,未来网络FNII,通信/网络设备不需要融资100-499人,Java 大数据开发经验, 孟女士,交通补助，带薪年假，年终奖，通讯补贴，生日福利，员工旅游，节日福利，餐补，定期体检，补充医疗保险，五险一金
大数据工程师,大数据工程师 （数据闭环方向）,北京·海淀区·学院路,25-50K·15薪,在校/应届博士,易控智驾,计算机软件B轮100-499人,自动驾驶 数据闭环, 柴女士,全勤奖，年终奖，定期体检，节日福利，股票期权，加班补助，五险一金，餐补，带薪年假，零食下午茶
大数据工程师,spark大数据开发工程师,北京·海淀区·西三旗,15-16K,在校/应届博士,北京华虎兄弟科技,计算机软件20-99人,Java C++ Spark 计算机相关专业 大数据开发经验, 雨女士, 
大数据工程师,高级大数据工程师,西安·雁塔区·电子城,12-20K,在校/应届博士,迈思途软件,计算机软件未融资20-99人,Python Hbase Hive 大数据开发经验 计算机相关专业 数仓建设经验, 荣女士,生日福利，零食下午茶，绩效奖金，年终奖，定期体检
大数据工程师,大数据etl开发工程师,青岛·崂山区·西韩,10-15K,在校/应届博士,海尔智家用户云平台,移动互联网已上市500-999人,SQL Spark Flink 大数据开发经验 数仓建设经验 ETL开发经验, 郭女士,补充医疗保险，餐补，定期体检，节日福利，带薪年假，五险一金
大数据工程师,大数据研发工程师,南京·秦淮区·洪家园,200-250元/天,在校/应届博士,百胜,餐饮已上市10000人以上,Scala Spark Flink 计算机相关专业 kafka, 陈先生,补充医疗保险，带薪年假，节日福利，定期体检，五险一金
大数据工程师,大数据数仓工程师,大连·沙河口区·软件园,14-22K·13薪,在校/应届博士,埃尔沃思数字科技,计算机软件不需要融资100-499人,Spark Hive Hbase 计算机相关专业 大数据开发经验 CDP, 李女士,五险一金，补充医疗保险，定期体检，年终奖，带薪年假
大数据工程师,大数据开发工程师,长沙·望城区,12-20K·13薪,在校/应届博士,大大买钢,电子商务A轮500-999人,SQL Spark Hadoop Kafka Flume Impala Sqoop HIVE, 胡女士,五险一金，零食下午茶，餐补，交通补助，员工旅游，通讯补贴，节日福利，补充医疗保险，定期体检，住房补贴，带薪年假
大数据工程师,大数据开发工程师,深圳·南山区·南油,12-18K,在校/应届博士,笑傲科技,电子商务未融资100-499人,大数据开发经验, 王先生,员工旅游，带薪年假，团建聚餐，零食下午茶，绩效奖金，五险一金
大数据工程师,大数据开发工程师,北京·海淀区·西苑,15-16K,在校/应届博士,中人教育,在线教育不需要融资20-99人,Kettle, 孙女士, 
大数据工程师,大数据开发工程师,杭州·滨江区·浦沿,15-25K·14薪,在校/应届博士,中控技术,计算机软件已上市1000-9999人,Python SQL Hive 大数据开发经验 数仓建设经验 ETL开发经验, 罗先生,交通补助，免费班车，补充医疗保险，加班补助，餐补，定期体检，团建聚餐，法定节假日三薪，通讯补贴，年终奖，零食下午茶，股票期权，带薪年假，住房补贴，五险一金，员工旅游，生日福利，节日福利，高温补贴，包吃
大数据工程师,大数据开发工程师（广州）,广州·天河区·员村,12-20K,在校/应届博士,中国电信亿迅科技,移动互联网不需要融资1000-9999人,Python Spark Hadoop Flink, 刘女士,餐补，高温补贴，五险一金，定期体检，节日福利，通讯补贴，带薪年假，补充医疗保险，年终奖
大数据工程师,大数据开发工程师,杭州·西湖区·西溪,11-18K,在校/应届博士,杭州职正科技有限公司,计算机软件100-499人,大数据开发经验 计算机相关专业, 安女士, 
大数据工程师,大数据软件工程师,贵阳·观山湖区·世纪金源,8-13K,在校/应届博士,贵州航天云网,互联网不需要融资100-499人,计算机相关专业, 周女士,定期体检，年终奖，工龄工资，餐补，带薪年假，五险两金，通讯补贴，交通补助，司龄工资
大数据工程师,大数据开发工程师,成都·武侯区·科华北路,12-20K·15薪,在校/应届博士,民航信息,计算机软件不需要融资100-499人,Flink Kafka Java 计算机相关专业 大数据开发经验 数仓建设经验, 卿先生,交通补助，加班补助，补充医疗保险，定期体检，五险一金，带薪年假，免费班车，年终奖，节日福利
大数据工程师,大数据开发工程师,南京·秦淮区·新街口,11-16K,在校/应届博士,美味不用等,互联网D轮及以上500-999人,Shell SQL Hive 大数据开发经验 数仓建设经验 ETL开发经验, 睢先生,定期体检，五险一金，节日福利，员工旅游，带薪年假
大数据工程师,大数据高级研发工程师,北京·朝阳区·朝阳门,30-60K,在校/应届博士,中国电信安全公司,信息安全未融资500-999人,Flink Kafka Spark 大数据开发经验 计算机相关专业 数仓建设经验, 余先生,补充医疗保险，年终奖，五险一金，餐补，节日福利，带薪年假，通讯补贴，交通补助，定期体检，员工旅游
大数据工程师,大数据开发工程师,漳州·芗城区·天下广场,8-13K·13薪,在校/应届博士,云谏能源,互联网未融资20-99人,Scala Spark Storm 计算机相关专业 大数据开发经验, 陈先生, 
大数据工程师,大数据开发工程师,青岛·李沧区·世园会,16-20K,在校/应届博士,海信网络科技,计算机软件不需要融资1000-9999人,数据库开发 数据架构师, 王先生,加班补助，带薪年假，定期体检，年终奖，节日福利，交通补助，免费班车，补充医疗保险，餐补，五险一金，住房补贴
大数据工程师,大数据开发工程师,北京·海淀区·西北旺,15-30K·16薪,在校/应届博士,百度,互联网已上市10000人以上,数据开发 数据仓库 Scala Hive Spark Hadoop 大数据 数据挖掘, 郑先生,五险一金，娱乐健身，补充医疗保险，免费班车，零食下午茶，餐补，节日福利，年终奖，加班补助，员工旅游，交通补助，定期体检，住房补贴，带薪年假，通讯补贴
大数据工程师,大数据工程师（用户画像）,深圳·宝安区·宝安中心区,26-30K,在校/应届博士,诚迈科技,互联网已上市1000-9999人,"Java Python 计算机相关专业 大数据开发经验 用户画像 离线 基于""用户""的数据开发", 沈女士,通讯补贴，交通补助，团建聚餐，带薪年假，定期体检，员工旅游，餐补，免费班车，节日福利，加班补助，五险一金，法定节假日三薪
大数据工程师,大数据开发工程师,上海·静安区·彭浦镇,23-30K·14薪,在校/应届博士,合合信息,互联网D轮及以上1000-9999人,Shell Hive Spark 计算机相关专业 大数据开发经验 数仓建设经验 知识图谱, 韩先生,免费班车，定期体检，五险一金，员工旅游，节日福利，年终奖，包吃，带薪年假，零食下午茶
大数据工程师,中级大数据开发工程师,北京·朝阳区·小营,16-20K·13薪,在校/应届博士,微播易,互联网C轮500-999人,Java Spark Flink 计算机相关专业 大数据开发经验 ETL开发经验, 詹先生,五险一金，节日福利，零食下午茶
大数据工程师,高级大数据开发工程师,扬州·邗江区·京华城,13-25K,在校/应届博士,江苏华信科技,通信/网络设备未融资20-99人,Hive Spark Hbase 大数据开发经验, 卢女士,五险一金，通讯补贴
大数据工程师,大数据研发工程师（MJ001049）,广州·天河区·小新塘,20-30K·15薪,在校/应届博士,钛动科技,互联网B轮100-499人,Flink Hbase Kafka 数仓建设经验 大数据开发经验 ETL开发经验, 屈先生,五险一金，零食下午茶，全勤奖，节日福利，定期体检，年终奖，带薪年假，股票期权，交通补助
大数据工程师,大数据BI工程师,成都·锦江区·柳江,15-20K,在校/应届博士,运荔枝科,交通/运输未融资100-499人,数据仓库 ETL 数据分析 Python Shell Oracle MySQL Java, 高女士, 
大数据工程师,大数据研发工程师,北京·海淀区·上地,20-40K,在校/应届博士,九栖科技,大数据A轮20-99人,Kafka Flink Hive 计算机相关专业 大数据开发经验, 赵女士,补充医疗保险，保底工资，团建聚餐，生日福利，节日福利，节假日加班费，意外险，股票期权，带薪年假，五险一金，零食下午茶，年终奖，法定节假日三薪，定期体检，绩效奖金，餐补
大数据工程师,大数据开发工程师,上海·徐汇区·漕河泾,35-65K·15薪,经验不限本科,文远知行,互联网D轮及以上1000-9999人,C++ Java Python 大数据开发经验, 陈女士,节日福利，年终奖，通讯补贴，股票期权，补充医疗保险，零食下午茶，带薪年假，定期体检，免费班车，五险一金，包吃，员工旅游
大数据工程师,大数据开发工程师（应届）,广州,6-10K,经验不限本科,和元达,移动互联网未融资20-99人,Spark Hive, 易女士,通讯补贴，股票期权，包吃，五险一金，零食下午茶，定期体检，节日福利
大数据工程师,大数据开发工程师,上海·浦东新区·源深,20-25K,经验不限本科,玄羽科技,通信/网络设备B轮100-499人,Java Scala Flink 计算机相关专业 大数据开发经验, 张女士,节日福利，定期体检，带薪年假，员工旅游，弹性上班，零食下午茶，交通补助，五险一金
大数据工程师,大数据开发工程师,上海·普陀区·长寿路,30-40K·13薪,经验不限本科,海睿食品,食品/饮料/烟酒A轮100-499人,Python Hive Flink 大数据开发经验 数仓建设经验 ETL开发经验, 臧先生,五险一金，年终奖，股票期权，带薪年假，员工旅游，节日福利
大数据工程师,高级大数据研发工程师,杭州·余杭区·仓前,20-40K·16薪,经验不限本科,阿里巴巴集团,互联网已上市10000人以上,Hive Spark Flink 大数据开发经验 数仓建设经验 ETL开发经验, 张先生,年终奖，补充医疗保险，员工旅游，股票期权，五险一金，免费班车，节日福利，餐补，交通补助，零食下午茶
大数据工程师,大数据开发工程师,西安·雁塔区·高新软件园,15-30K,经验不限本科,华为数字技术,通信/网络设备不需要融资10000人以上,大数据开发经验, 曹女士,定期体检，年终奖，五险一金，股票期权
大数据工程师,大数据开发工程师,成都·锦江区·红星路,8-13K·15薪,经验不限本科,明略科技,互联网D轮及以上1000-9999人,Python Flink spark ES, 谭女士,五险一金，年终奖，加班补助，定期体检，零食下午茶，交通补助，带薪年假，补充医疗保险
大数据工程师,大数据开发工程师,无锡·滨湖区·太湖景区,10-15K·13薪,经验不限本科,无锡挚达,计算机软件不需要融资20-99人,Spark Shell Hadoop, 蒋女士,加班补助，带薪年假，定期体检，员工旅游，节日福利，五险一金，餐补
大数据工程师,大数据开发工程师,上海·浦东新区·张江,20-40K,经验不限本科,孤波,电子/半导体/集成电路不需要融资20-99人,Java Scala Spark Kafka Flink springboot clickhouse spring, 钱先生,交通补助，股票期权，员工旅游，节日福利，零食下午茶，定期体检，年终奖，带薪年假，包吃，生日福利，五险一金
大数据工程师,大数据开发工程师,西安·雁塔区·绿地世纪城,15-30K,经验不限本科,西安益迪惟科智能科技,仪器仪表/工业自动化不需要融资20-99人,Java Spark 计算机相关专业 数学/统计相关专业 大数据开发经验, 王女士,餐补，带薪年假，年终奖，五险一金，交通补助，定期体检，节日福利
大数据工程师,高级大数据开发工程师,南京·建邺区·奥体,20-40K·14薪,经验不限本科,南京小米,互联网已上市10000人以上,spark flink, 罗先生,团建聚餐，生日福利，住房补贴，股票期权，餐补，定期体检，五险一金，补充医疗保险，意外险，年终奖，带薪年假，节日福利
大数据工程师,高级大数据开发工程师,杭州·滨江区·长河,20-40K,经验不限本科,吉利控股集团,汽车研发/制造已上市10000人以上,SQL Kafka Flink 大数据开发经验 数仓建设经验, 郑先生,五险一金，节日福利，定期体检，住房补贴，年终奖，补充医疗保险，包吃，加班补助，交通补助，员工旅游，零食下午茶，股票期权，餐补，通讯补贴，免费班车，带薪年假
大数据工程师,高级大数据开发工程师,上海·浦东新区·金桥,15-20K,经验不限本科,晓枫研究院,计算机软件20-99人,大数据开发经验, 周女士, 
大数据工程师,高级大数据开发工程师,南京·建邺区·奥体,12-18K,经验不限本科,南京联迪信息,计算机软件不需要融资500-999人,Java Python Kafka 大数据开发经验, 王女士,五险一金，加班补助，带薪年假
大数据工程师,大数据研发工程师,杭州·余杭区·翡翠城,18-25K,经验不限本科,华东院,计算机软件不需要融资1000-9999人,大数据开发经验 数仓建设经验 计算机相关专业 AI, 唐先生,年终奖，包吃，五险一金，交通补助，带薪年假，节日福利，定期体检，免费班车，餐补，通讯补贴，补充医疗保险，零食下午茶
大数据工程师,高级大数据平台开发工程师,深圳·南山区·科技园,25-50K,经验不限本科,腾讯,互联网不需要融资10000人以上,SQL Hive Spark 计算机相关专业 大数据开发经验 数仓建设经验 看中学习能力 关注稳定性, 李女士,零食下午茶，五险一金，免费健身房，住房补贴，绩效奖金，补充医疗保险，免费班车，餐补，意外险，带薪年假，员工旅游，公仔周边活动，定期体检，交通补助，节日福利，年终奖，股票期权，有无线网，包吃，免费早晚餐
大数据工程师,大数据开发工程师(J10336),合肥·包河区·工业园,12-24K·13薪,经验不限本科,国轩高科,汽车研发/制造已上市10000人以上,SQL Flink Spark 计算机相关专业, 顾女士,生日福利，餐补，五险一金，绩效奖金，工龄奖，年终奖，免费班车，节日福利，困难员工补助，结婚生育礼金，宿舍有空调，团建聚餐，包吃，单人间宿舍，带薪年假
大数据工程师,大数据开发工程师（北京）,北京·朝阳区·朝外,10-15K·15薪,经验不限本科,石化盈科,计算机软件未融资1000-9999人,Java 计算机相关专业 数学/统计相关专业 大数据开发经验, 封女士,补充医疗保险，五险一金，带薪年假，定期体检
大数据工程师,大数据开发工程师,宁波·鄞州区·百丈,30-60K·14薪,经验不限本科,港信息通信,计算机软件未融资100-499人,Java Python Scala Spark Impala Flink, 柯女士,宿舍有空调，定期体检，包吃，宿舍，五险一金，免费班车，节日福利，年终奖，生日福利，补充医疗保险，员工旅游，交通补助，通讯补贴，包住，餐补，团建聚餐，带薪年假，高温补贴
大数据工程师,大数据开发工程师,广州·海珠区·官洲,12-20K·18薪,经验不限本科,联通(广东)产业互联网,移动互联网不需要融资1000-9999人,Hbase Hive Kafka 大数据开发经验, 黎女士,免费班车，带薪年假，补充医疗保险，节日福利，住房补贴，餐补，零食下午茶，七险二金，定期体检，包吃，年终奖，通讯补贴，交通补助
大数据工程师,高级大数据开发工程师,南京·雨花台区·安德门,20-30K·15薪,经验不限本科,阳光电源(南京),新能源10000人以上,Java 大数据开发经验 Spark Flink, 王先生, 
大数据工程师,高级大数据开发工程师,北京·朝阳区·望京,30-35K,经验不限本科,美团,互联网已上市10000人以上,Java Hive 大数据开发经验 SQL, 郭先生,宿舍有空调
大数据工程师,高级大数据开发工程师,北京·东城区·东单,22-23K,经验不限本科,OPay,互联网C轮500-999人,Java Python 计算机相关专业 数学/统计相关专业 大数据开发经验, 孙女士,交通补助，股票期权，餐补，补充医疗保险，包吃，带薪年假，节日福利，五险一金，年终奖
大数据工程师,高级大数据开发工程师(实时),上海·青浦区·虹桥枢纽周边区,25-35K,经验不限本科,极兔速递,物流/仓储已上市10000人以上,SQL HDFS Flink Java Kafka Hbase, 禹先生,五险一金，定期体检，年终奖，免费班车，员工旅游，节日福利，全勤奖，带薪年假
大数据工程师,高级大数据开发工程师,上海·浦东新区·南码头,25-50K,经验不限本科,华锐,计算机软件D轮及以上500-999人,Flink diors, 宋先生,员工旅游，包吃，带薪年假，年终奖，餐补，定期体检，健身房，节日福利，五险一金，股票期权
大数据工程师,中高级大数据开发工程师,福州·鼓楼区·东街口,16-25K,经验不限本科,一人一车科技,互联网未融资100-499人,大数据开发经验 数仓建设经验, 刘女士,定期体检，全勤奖，生日福利，零食下午茶，五险一金，节日福利，带薪年假
大数据工程师,中高级大数据开发工程师,上海·长宁区·新华路,20-30K·13薪,经验不限本科,智协慧同,计算机软件A轮20-99人,Java Python Scala Spark Kafka Hadoop Zookeeper Flink, 张女士,定期体检，带薪年假，年终奖，五险一金，节日福利，股票期权
大数据工程师,大数据开发工程师,柳州·城中区·市中心,7-12K,经验不限本科,长亮科技,计算机软件已上市1000-9999人,SQL, 高女士,五险一金，意外险，节日福利，零食下午茶，交通补助，加班补助，法定节假日三薪，股票期权，员工旅游，补充医疗保险，定期体检，年终奖，通讯补贴，带薪年假，绩效奖金，保底工资
大数据工程师,大数据开发工程师,深圳·南山区·科技园,15-30K,经验不限本科,鹏微,计算机软件未融资20-99人,Hive Spark Flink ETL开发经验 大数据开发经验 数仓建设经验, 肖先生,五险一金，定期体检，年终奖，节日福利，餐补，零食下午茶，补充医疗保险，双休，带薪年假
大数据工程师,大数据开发工程师,洛阳·洛龙区·泉舜广场,5-7K,经验不限本科,神州通誉,计算机软件未融资1000-9999人,Java SQL 大数据开发经验, 何先生,五险一金，带薪年假，员工旅游，节日福利
