type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
嵌入式,嵌入式 linux 工程师,杭州,12-24K·15薪,1-3年本科,汉普智安,智能硬件B轮20-99人,C++ 嵌入式技术 Linux 单片机开发 驱动开发, 刘女士,五险一金，交通补助，节日福利
嵌入式,嵌入式 Linux软件开发工程师,北京·昌平区·回龙观,15-20K·14薪,1-3年本科,北京太速科技,电子/半导体/集成电路未融资20-99人,Windows Linux, 陈先生,补充医疗保险，五险一金，全勤奖，加班补助，定期体检，年终奖
嵌入式,嵌入式 Linux 软件研发工程师,武汉·洪山区·南湖,10-15K,1-3年本科,武汉新屋熊,智能硬件0-20人,C ARM开发 计算机相关专业 英语读写能力良好, 李先生, 
嵌入式,初/中级MCU 嵌入式 软硬件工程师,上海·浦东新区·张江,7-12K·13薪,1-3年本科,晨斐电子,电子/半导体/集成电路0-20人,嵌入式技术 Linux 嵌入式软件开发 单片机开发, 冶女士, 
嵌入式,嵌入式,厦门·集美区·杏北,10-11K,1-3年本科,TROLMASTER,仪器仪表/工业自动化未融资100-499人,嵌入式技术, 刘先生,五险一金，加班补助，全勤奖，节日福利，年终奖，餐补，带薪年假
嵌入式,嵌入式,杭州·萧山区·北干,10-15K,1-3年本科,宏茂科技,移动互联网天使轮20-99人,嵌入式 智能硬件 电路设计 嵌入式软件开发 4G 嵌入式硬件开发 嵌入式技术 PCB设计, 吴先生,团建聚餐，有无线网，绩效奖金，底薪加提成，五险一金
嵌入式,嵌入式,深圳·宝安区·西乡,12-24K,1-3年本科,春晖,智能硬件20-99人,RTOS C++ C mtk 嵌入式/单片机开发经验 Makefile 单片机开发 嵌入式软件开发 电气电气/自动化相关专业 计算机相关专业 ARM开发 驱动开发, 康先生, 
嵌入式,嵌入式,郑州·金水区·龙子湖校区,7-8K,1-3年本科,苏州云疆智能科技,智能硬件未融资0-20人,C C++ 电气电气/自动化相关专业 嵌入式/单片机开发经验, 闫先生,交通补助，有无线网，团建聚餐，五险一金，保底工资，年终奖，住房补贴
嵌入式,嵌入式,上海·浦东新区·张江,15-30K·13薪,1-3年本科,汉图科技,智能硬件C轮100-499人,嵌入式技术 嵌入式软件开发 驱动开发, 胡先生,五险一金，补充公积金，定期体检，年终奖，股票期权，补充医疗保险，团建经费，带薪年假
嵌入式,嵌入式,济宁,8-13K,1-3年本科,金叶仪器,电子/半导体/集成电路未融资20-99人,C语言 音视频编解码 嵌入式技术 嵌入式软件开发 PCB设计 ARM开发 器件选型, 楚女士,定期体检，年终奖，员工旅游，五险一金，效益工资，节日福利，通讯补贴，全勤奖
嵌入式,嵌入式,深圳·南山区·科技园,7-9K·13薪,1-3年本科,智旭科技有限公司,智能硬件20-99人,C ARM开发 计算机相关专业 通信相关专业 嵌入式/单片机开发经验, 何女士, 
嵌入式,嵌入式,杭州·余杭区·未来科技城,10-11K,1-3年本科,舜宇智能科技,计算机软件不需要融资100-499人,嵌入式技术 ARM开发 C语言 Linux, 苏先生,股票期权，补充医疗保险，交通补助，全勤奖，包吃，带薪年假，通讯补贴，餐补，年终奖，节日福利，定期体检，五险一金，住房补贴
嵌入式,嵌入式,金华·金东区·金义大都市,13-26K,1-3年本科,芯脉集团、食亿售,电子/半导体/集成电路天使轮20-99人,嵌入式技术 Linux 单片机开发 驱动开发 ARM开发 C语言 C++ 流媒体技术, 熊先生,五险一金，全勤奖，股票期权，节日福利，员工旅游，年终奖，通讯补贴，带薪年假，住房补贴，餐补
嵌入式,嵌入式,青岛·城阳区·上马,13-14K·13薪,1-3年本科,智腾微电子,其他行业B轮100-499人,C 嵌入式/单片机开发经验, 程先生,带薪年假，股票期权，通讯补贴，团建聚餐，高温补贴，员工旅游，交通补助，住房补贴，年终奖，餐补，保底工资，五险一金，免费班车，免费工装，节日福利，意外险，加班补助，宿舍有空调，包住，包吃
嵌入式,嵌入式,苏州·昆山市·张浦,20-30K·13薪,1-3年本科,兴威联电气,通信/网络设备100-499人,ARM 嵌入式 驱动开发, 张女士, 
嵌入式,嵌入式,深圳·南山区·科技园,8-13K,1-3年本科,深圳市爱云信息科...,计算机软件未融资20-99人,嵌入式软件开发 ARM开发 嵌入式技术 C++ Linux, 马先生, 
嵌入式,嵌入式,杭州·滨江区·西兴,15-20K·13薪,1-3年本科,德施曼科技,智能硬件1000-9999人,计算机相关专业 通信相关专业 嵌入式/单片机开发经验, 陆女士, 
嵌入式,嵌入式,北京·昌平区·昌平镇,14-20K,1-3年本科,超核电子,电子/半导体/集成电路未融资0-20人,C语言 嵌入式技术 FreeRTOS RTOS 单片机开发, 刘先生,五险一金，带薪年假
嵌入式,嵌入式,南京·江宁区·东山,10-20K,1-3年本科,SINDO,电力/热力/燃气/水利不需要融资20-99人,STM32开发 系统集成 C 嵌入式/单片机开发经验 硬件开发 计算机相关专业 ARM开发 英语读写能力良好 嵌入式, 尚先生,交通补助，员工旅游，年终奖，加班补助，全勤奖，带薪年假，节日福利，五险一金，餐补，通讯补贴
嵌入式,嵌入式,深圳·宝安区·西乡,10-15K,1-3年本科,万莫斯,智能硬件不需要融资20-99人,Python 计算机相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验, 王先生,股票期权，全勤奖，团建聚餐，五险一金，员工旅游，餐补，带薪年假，节日福利，工龄奖，生日福利，年终奖，零食下午茶
嵌入式,嵌入式,北京·海淀区·西北旺,16-30K,1-3年本科,华为技术有限公司,计算机软件不需要融资10000人以上,嵌入式技术 网络协议 C语言 驱动开发 嵌入式软件开发 通信 网络设备 C++, 黄先生,补充医疗保险，住房补贴，定期体检，加班补助，零食下午茶，年终奖，餐补，全勤奖，股票期权，节日福利，五险一金，员工旅游，交通补助，离职补偿，免费班车，通讯补贴，带薪年假
嵌入式,嵌入式,上海·普陀区·桃浦,13-21K,1-3年本科,上海新地实业,医疗器械A轮20-99人,电路设计 Layout设计 EMC设计 信号发生器 示波器, 张先生,五险一金，加班补助，全勤奖，员工旅游
嵌入式,嵌入式,济南·长清区,8-12K,1-3年本科,山东金惠,电子/半导体/集成电路不需要融资20-99人,嵌入式 智能硬件 ARM, 姜女士,通讯补贴，带薪年假，免费班车，五险一金，加班补助，定期体检，员工旅游，全勤奖，交通补助，餐补，节日福利
嵌入式,嵌入式,北京·大兴区·黄村,15-30K,1-3年本科,埃文斯科技,医疗器械未融资20-99人,单片机开发 EMC测试 EMC设计 ARM开发 示波器 万用表 电路设计 嵌入式硬件开发, 宋先生,生日福利，五险一金，员工旅游，宿舍有空调，团建聚餐，有无线网，住房补贴，股票期权，带薪年假，定期体检，全勤奖，节日福利，免费工装
嵌入式,嵌入式,武汉·江夏区·藏龙岛,12-19K·13薪,1-3年本科,瑞九,智能硬件未融资100-499人,单片机开发 ARM开发 电路设计 嵌入式软件开发 C语言 嵌入式硬件开发 智能硬件 物联网, 张先生,节日福利，包吃，带薪年假，年终奖，定期体检
嵌入式,嵌入式,杭州·西湖区·三墩,5-6K,1-3年本科,雷甸创联,智能硬件未融资20-99人,C语言 MCU C++, 沈先生,年终奖，全勤奖，带薪年假，零食下午茶，节日福利，五险一金，定期体检
嵌入式,嵌入式,深圳·龙华区·龙华,15-30K,1-3年本科,深圳力德环境,环保天使轮0-20人,C++ 机器人 嵌入式/单片机开发经验 计算机相关专业 ARM开发, 王女士,带薪年假，员工旅游，节日福利，加班补助，股票期权，五险一金，补充医疗保险，年终奖
嵌入式,嵌入式,南京·江宁区·麒麟镇,13-19K·13薪,1-3年本科,南京科赛恩电子,电子/半导体/集成电路不需要融资0-20人,C++ DSP开发 C 通信相关专业 嵌入式/单片机开发经验 计算机相关专业, 吴先生,节日福利，加班补助，五险一金，绩效奖金，夜班补助，年终奖，餐补
嵌入式,嵌入式,珠海·香洲区·南屏,8-16K,1-3年本科,大唐智能电气,通信/网络设备未融资20-99人,嵌入式 单片机 ARM, 唐先生, 
嵌入式,嵌入式,成都·郫都区·犀浦,3-7K,1-3年本科,诚誉电子科技,电子/半导体/集成电路0-20人,STM32开发 C++ C 嵌入式/单片机开发经验, 熊先生, 
嵌入式,嵌入式,上海·嘉定区·黄渡,23-27K,5-10年本科,凯泉泵业,机械设备/机电/重工不需要融资1000-9999人,C++ 嵌入式技术 网络协议 Linux 嵌入式软件开发 驱动开发 ARM开发 RTOS, 饶先生,年终奖，五险一金，交通补助，员工旅游，通讯补贴，带薪年假，节日福利
嵌入式,嵌入式,北京·大兴区·郁花园,11-18K,5-10年本科,麦极客无线供电,汽车零部件不需要融资1000-9999人,嵌入式技术 单片机开发 电路设计 LabVIEW 嵌入式硬件开发 硬件工程师 测试工程师 汽车, 杨先生,五险一金，带薪年假，加班补助，年终奖，节日福利，交通补助，定期体检
嵌入式,嵌入式,咸宁,8-13K,5-10年本科,湖北智数电子科技...,计算机软件0-20人,FPGA开发 Linux Socket技术 单片机开发 嵌入式软件开发 PCB设计 嵌入式技术, 熊先生, 
嵌入式,嵌入式,淄博,10-11K,5-10年本科,纳瑞仪器,仪器仪表/工业自动化20-99人,STM32开发 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验, 刘女士, 
嵌入式,嵌入式,北京·丰台区·科技园区,10-15K,5-10年本科,中环寰慧,电力/热力/燃气/水利D轮及以上1000-9999人,STM32开发 计算机相关专业 机械设计制造相关专业 电气电气/自动化相关专业, 李先生,通讯补贴，带薪年假，节日福利，年终奖，定期体检，五险一金
嵌入式,嵌入式,西安,15-30K·14薪,5-10年本科,昕晨电子,电子/半导体/集成电路未融资20-99人,C DSP开发 ARM开发 计算机相关专业 通信相关专业 嵌入式/单片机开发经验, 张先生,年终奖，加班补助，团建聚餐，免费工装，全勤奖，员工旅游，工龄奖，生日福利，五险一金，节假日加班费，节日福利
嵌入式,嵌入式,厦门·翔安区·火炬园,10-15K·13薪,5-10年本科,DOSRON,电子/半导体/集成电路不需要融资20-99人,C RTOS ARM开发 计算机相关专业 通信相关专业 嵌入式/单片机开发经验, 张先生,加班补助，年终奖，五险一金，股票期权
嵌入式,嵌入式,北京·海淀区·安宁庄,15-25K,5-10年本科,和成锦智,汽车零部件0-20人,STM32开发 机械设计制造相关专业 电气电气/自动化相关专业 嵌入式/单片机开发经验, 岑先生, 
嵌入式,嵌入式,温州·龙湾区·天河,6-7K,5-10年本科,朗蒙电子,电子/半导体/集成电路0-20人,单片机开发 测试 驱动开发, 涂先生, 
嵌入式,嵌入式,北京·海淀区·六里桥,15-20K,5-10年本科,华胜信息,通信/网络设备C轮100-499人,linux 嵌入式 ARM, 张先生,定期体检，五险一金，年终奖，餐补，带薪年假
嵌入式,嵌入式,金华,10-15K,5-10年本科,兴尚电子,电子/半导体/集成电路未融资100-499人,C语言 嵌入式技术 嵌入式硬件开发 Keil 示波器 嵌入式软件开发 单片机开发 驱动开发, 叶先生, 
嵌入式,嵌入式,青岛·黄岛区·长江路,12-13K,5-10年本科,爱尔豪斯,智能硬件天使轮20-99人,智能硬件 硬件开发 传感器, 秦先生,五险一金
嵌入式,嵌入式,合肥·瑶海区·龙岗,10-11K,5-10年本科,松创,电子/半导体/集成电路0-20人,嵌入式技术 嵌入式软件开发 嵌入式硬件开发 单片机开发, 罗先生,加班补助，带薪年假，员工旅游，包吃
嵌入式,嵌入式,无锡·新吴区·新安,10-11K,5-10年本科,政通恒兴,计算机软件0-20人,嵌入式 智能硬件 硬件开发, 王先生, 
嵌入式,嵌入式,武汉·洪山区,6-10K,5-10年本科,禾达芯微科,计算机硬件未融资20-99人,嵌入式 硬件开发 电路设计, 陶先生,节日福利，加班补助，年终奖，项目奖，五险一金，带薪年假
嵌入式,嵌入式,深圳·宝安区·西乡,15-30K·13薪,5-10年本科,亿指科技,电子/半导体/集成电路0-20人,C C++ RTOS 计算机相关专业 通信相关专业 嵌入式/单片机开发经验 H.264 BLE LVGL, 邵先生,年终奖，五险一金
嵌入式,嵌入式,温州·瓯海区·三垟,5-8K,5-10年本科,云锁智能科技,智能硬件未融资20-99人,嵌入式 硬件开发 单片机, 陆女士, 
嵌入式,嵌入式,北京·海淀区·西北旺,7-12K·14薪,5-10年本科,纳通,医疗器械1000-9999人,STM32开发 C 嵌入式/单片机开发经验 电气电气/自动化相关专业 电外科 电刀刨刀, 王女士,带薪年假，五险一金
嵌入式,嵌入式,武汉·洪山区·光谷,12-20K,5-10年本科,芯来科技,半导体/芯片B轮100-499人,嵌入式技术 驱动开发 电路设计 ARM开发 C++ 电子半导体 仪器仪表, 方先生,员工旅游，定期体检，补充医疗保险，年终奖，零食下午茶，节日福利，五险一金，股票期权
嵌入式,嵌入式,深圳·龙华区·大浪,15-30K,5-10年本科,泰格达电子,其他行业不需要融资20-99人,嵌入式 单片机 驱动开发, 颜先生,带薪年假
嵌入式,嵌入式,上海·闵行区·颛桥,8-10K,5-10年本科,上海乔圣德利,仪器仪表/工业自动化100-499人,智能水表 嵌入式/单片机开发经验, 李先生,绩效奖金，保底工资，底薪加提成，餐补，五险一金，带薪年假，年终奖，交通补助
嵌入式,嵌入式,北京·朝阳区·奥运村,8-9K,5-10年本科,珠海凯锐达科技,医疗器械不需要融资0-20人,STM32开发 C 嵌入式/单片机开发经验 单片机开发 嵌入式软件开发 嵌入式技术, 刘先生,带薪年假，保底工资，加班补助，五险一金，年终奖，绩效奖金
