type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
架构师,架构师,广州·天河区·珠江新城,20-40K,5-10年本科,朴诚乳业,食品/饮料/烟酒C轮1000-9999人,Java Shell Hibernate, 莫女士,节日福利，生日福利，定期体检，带薪年假，五险一金，出差补贴，奖励，交通补助，通讯补贴，年终奖，员工旅游
架构师,架构师,南京·浦口区·江浦,30-40K·15薪,5-10年本科,派诺,化工20-99人,大数据架构 前端架构 平台架构 嵌入式技术 C# C语言 Java 数据结构, 王先生,绩效奖金，团建聚餐，餐补，五险一金，免费工装，节日福利，定期体检，意外险，带薪年假，员工旅游
架构师,架构师,南京·江宁区·九龙湖,20-28K,5-10年本科,南京数睿,计算机软件B轮100-499人,微服务架构 游戏引擎 分布式技术 React SpringCloud Dubbo, 崔女士,带薪年假，年终奖，五险一金，补充医疗保险，晋升，加班补助，定期体检，节日福利，团建聚餐
架构师,架构师,杭州·滨江区·星光大道,20-30K,5-10年本科,易云科技,互联网未融资100-499人,制造领域 IT架构 整车领域, 陈先生,带薪年假，节日福利，员工旅游，定期体检，五险一金，高温补贴，餐补，全勤奖，年终奖，意外险，有无线网，补充医疗保险，工龄奖，交通补助，住房补贴，团建聚餐，生日福利，免费工装，绩效奖金，通讯补贴
架构师,架构师,杭州·西湖区·文二路,15-30K,5-10年本科,木标科技,生活服务（O2O）未融资20-99人,系统架构 技术管理 高级技术管理, 徐先生, 
架构师,架构师,长沙·岳麓区·麓谷,30-60K·14薪,5-10年本科,益丰大药房,医疗健康已上市10000人以上,Java JavaScript HTML 微服务架构 分布式技术 网络协议 Spring, 舒先生,股票期权，通讯补贴，带薪年假，定期体检，宿舍有空调，住房补贴，周末双休，有无线网，节假日加班费，年终奖，员工旅游，绩效奖金，五险一金，团建聚餐，包住，餐补，包住，绩效奖金，包吃，免费班车
架构师,架构师,上海·浦东新区·张江,18-35K,5-10年本科,岩易科技,计算机软件20-99人,Python 网络协议, 林女士, 
架构师,架构师,佛山·顺德区·大良,40-60K,5-10年本科,精工,计算机软件未融资100-499人,系统架构 高级技术管理, 宋先生,保底工资，绩效奖金，定期体检，带薪年假，节日福利，员工旅游，餐补，底薪加提成，生日福利，节假日加班费，交通补助，意外险，团建聚餐，补充医疗保险，五险一金
架构师,架构师,杭州·余杭区·仓前,15-30K,5-10年本科,淘宝,移动互联网已上市1000-9999人,业务梳理, 屠先生,餐补，五险一金，年终奖，股票期权，带薪年假，定期体检，员工旅游，免费班车
架构师,架构师,北京·大兴区·西红门,25-50K,5-10年本科,万域城,移动互联网未融资0-20人,系统架构 高级技术管理, 卢先生,五险一金
架构师,架构师,深圳·龙岗区·坂田,25-50K,5-10年本科,华为,计算机软件不需要融资10000人以上,系统架构 运维管理 大数据, 梁女士,股票期权，员工旅游，补充医疗保险，五险一金，定期体检，节日福利，年终奖，餐补，加班补助，零食下午茶
架构师,架构师,上海·松江区·新桥,20-40K,5-10年本科,上海邦中,原材料及加工/模具D轮及以上100-499人,分布式技术 Dubbo 平台架构, 韩女士,节日福利，五险一金，带薪年假，住房补贴，年终奖
架构师,架构师,深圳·盐田区·盐田港,12-24K·13薪,5-10年本科,辉驰物流,计算机软件0-20人,网络协议 数据结构 Django Flask Java Vue SpringBoot SpringCloud, 李先生, 
架构师,架构师,深圳·罗湖区·笋岗,3-5K·13薪,5-10年本科,深圳优尼,计算机软件不需要融资20-99人,微服务架构 分布式技术 Java 大数据架构 平台架构 SpringCloud, 黄先生,员工旅游，节日福利，零食下午茶，五险一金，带薪年假，年终奖，交通补助
架构师,架构师,南京·江宁区·百家湖,20-30K,5-10年本科,鼎捷软件,计算机软件已上市1000-9999人,Java 微服务架构 分布式技术 平台架构, 马先生,五险一金，补充医疗保险，餐补，生日福利，团建聚餐，员工旅游，节日福利，股票期权，定期体检，带薪年假，年终奖，通讯补贴
架构师,架构师,蚌埠·龙子湖区·大润发,4-8K,5-10年本科,兮克电子,电子商务20-99人,系统架构 技术管理 高级技术管理, 张先生, 
架构师,架构师,上海·浦东新区·张江,20-30K,5-10年本科,商涌科技,大数据C轮100-499人,Java 微服务架构 搜索引擎技术 分布式技术 多线程 SpringBoot Spring SpringMVC, 李女士,带薪年假，节日福利，五险一金，员工旅游，补充医疗保险，定期体检，零食下午茶，股票期权，年终奖
架构师,架构师,南昌·青云谱区·昌南,12-15K·13薪,5-10年本科,祥欢科技,企业服务20-99人,技术管理 系统架构 高级技术管理, 魏先生,包吃，五险
架构师,架构师,深圳·龙华区·民治,20-40K,5-10年本科,深圳计算科学研究...,互联网未融资100-499人,golang C++ Go, 马先生,五险一金，绩效奖金，节日福利，高温补贴，团建聚餐，住房补贴，交通补助，年终奖，生日福利，定期团建，带薪年假，定期体检，通讯补贴，零食下午茶，餐补，锻炼身体
架构师,架构师,杭州·余杭区·五常,40-70K·16薪,5-10年本科,北京字节跳动,互联网不需要融资10000人以上,分布式技术 微服务架构 Go Java, 余先生,补充医疗保险，带薪年假，加班补助，包吃，免费健身设施，弹性工作制，家属自选保险，节假日加班费，家庭关爱假，节日礼品，意外险，五险一金，绩效奖金，年度体检，定期体检，年终奖，就近租房补贴，零食下午茶，法定节假日三薪，餐饮及下午茶
架构师,架构师,广州·海珠区·赤岗,35-65K·13薪,5-10年本科,广州乐药,电子商务已上市10000人以上,Java 数据结构 容器技术 分布式技术, 刘先生,节日福利，员工旅游，五险一金，餐补，带薪年假，团建聚餐，零食下午茶，绩效奖金，年终奖，股票期权
架构师,架构师,西安·雁塔区·丈八,20-30K·13薪,5-10年本科,藏格科技,计算机服务未融资20-99人,Java Python Shell 微服务架构 MVC开发 容器技术 分布式技术 数据结构, 陈女士,五险一金，员工旅游，团建聚餐，节日福利，生日福利，有无线网，零食下午茶，带薪年假，定期体检，年终奖，员工免费旅游，出差补助
架构师,架构师,深圳·南山区·科技园,21-35K,5-10年本科,道旅旅游科技,旅游D轮及以上500-999人,C# 微服务架构 分布式技术 多线程 React, 班先生,双休，节假日加班费，通讯补贴，团建聚餐，节日福利，零食下午茶，带薪年假，生日福利，保底工资，绩效奖金，年终奖，定期体检，五险一金，员工旅游，工龄奖，免费工装，底薪加提成
架构师,架构师,北京·丰台区·科技园区,30-60K,5-10年本科,中环寰慧,电力/热力/燃气/水利D轮及以上1000-9999人,Java 平台架构, 朱女士,年终奖，五险一金，节日福利，带薪年假，通讯补贴，定期体检
架构师,架构师,郑州·管城回族区·郑州东站,12-20K,5-10年本科,职要来,培训/辅导机构不需要融资100-499人,微服务架构 Java JavaScript 平台架构, 任女士,五险一金，加班补助，年终奖，带薪年假
架构师,架构师,深圳·南山区·科技园,20-40K·14薪,5-10年本科,孤岛科技,互联网A轮20-99人,Go 微服务架构, 石先生,年终奖，股票期权，五险一金，员工旅游，住房补贴，零食下午茶，定期体检，带薪年假，交通补助
