type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
硬件工程师,大庆 硬件工程师,大庆·让胡路区·乘风庄,6-11K·13薪,3-5年本科,六合伟业,仪器仪表未融资100-499人,嵌入式软件开发 嵌入式硬件开发 电气设计 电路设计 仿真调试 器件选型 仪器仪表工程师, 冯先生,节假日加班费，带薪年假，工龄奖，餐补，加班补助，员工旅游，五险一金，定期体检，法定节假日三薪，底薪加提成，团建聚餐，保底工资，节日福利，股票期权，年终奖，绩效奖金，免费工装，通讯补贴
硬件工程师,硬件工程师 (MJ000221),郑州·金水区·郑州东站,15-20K,3-5年本科,优碧科技,智能硬件B轮100-499人,芯片/半导体/集成电路 电子电气/自动化相关专业 机械设计制造相关专业, 赵女士,年终奖，节日福利，五险一金，员工旅游，零食下午茶，绩效奖金，餐补，生日福利，团建聚餐，股票期权，带薪年假
硬件工程师,硬件工程师 (MJ000115),南京·栖霞区·摄山,13-25K,3-5年本科,牧镭激光,电子/半导体/集成电路B轮100-499人,芯片/半导体/集成电路 电池/电源类产品 智能硬件/可穿戴设备, 许女士,通讯补贴，定期体检，员工旅游，补充医疗保险，带薪年假，节日福利，餐补，住房补贴，零食下午茶，交通补助，年终奖，股票期权，五险一金
硬件工程师,硬件工程师 PCB画板 电子工程师,合肥,7-12K,3-5年本科,合肥沣林电子,电子/半导体/集成电路未融资20-99人,汽车硬件产品 芯片/半导体/集成电路 通信相关专业 电子电气/自动化相关专业 智能硬件/可穿戴设备 硬件开发经验, 李女士,全勤奖，住房补贴，餐补，生日福利，节日福利，法定节假日三薪，团建聚餐，工龄奖，绩效奖金
硬件工程师,硬件工程师,郑州,6-10K,3-5年本科,信盈达,智能硬件未融资100-499人,电路设计 PCB工艺 单片机, 朱女士,五险一金，员工旅游，带薪年假，节日福利，全勤奖，定期体检，餐补，零食下午茶，年终奖
硬件工程师,硬件工程师,大庆·龙凤区·开发区,6-8K,3-5年本科,精锐计量科技有限公司,机械设备/机电/重工未融资20-99人,芯片/半导体/集成电路 电路设计 器件选型 嵌入式硬件开发 信号发生器 万用表 示波器 单片机开发 PCB设计, 刘先生,补充医疗保险，加班补助，定期体检，员工旅游，全勤奖，五险一金，带薪年假，年终奖
硬件工程师,硬件工程师,北京·昌平区·龙泽,13-25K,3-5年本科,华信佳音,医疗器械天使轮20-99人,智能硬件/可穿戴设备 音视频/显示类产品 芯片/半导体/集成电路 电子电气/自动化相关专业 硬件开发经验 计算机相关专业, 孙女士,五险一金，股票期权，员工旅游，节日福利
硬件工程师,硬件工程师,北京·海淀区·牡丹园,15-22K,3-5年本科,小e到家,电子商务D轮及以上100-499人,硬件开发经验 自助设备 无人货柜 STM32, 孙先生,节日福利，补充医疗保险，餐补，带薪年假，五险一金
硬件工程师,硬件工程师,武汉·江夏区·光谷东,12-20K·13薪,3-5年本科,武汉海卓泰克科技,机械设备/机电/重工A轮0-20人,芯片/半导体/集成电路 电池/电源类产品 计算机相关专业 通信相关专业 电子电气/自动化相关专业, 闫先生,定期体检，全勤奖，团建聚餐，生日福利，年终奖，五险一金，带薪年假，绩效奖金，零食下午茶，有无线网
硬件工程师,硬件工程师,洛阳·涧西区·高新区,6-10K,3-5年本科,点维,仪器仪表/工业自动化未融资20-99人,单片机开发 PCB设计 电路设计 ARM开发 Keil 嵌入式硬件开发 Altium Designer, 王先生,五险一金，全勤奖，团建聚餐，加班补助，年终奖，节日福利，零食下午茶
硬件工程师,硬件工程师,南通·崇川区·中南·世纪城(崇文路),16-22K,3-5年本科,诚源港务集团,物流/仓储不需要融资1000-9999人,硬件测试, 沙先生,节日福利，年终奖，餐补，定期体检，包吃，五险一金，员工旅游，通讯补贴，交通补助
硬件工程师,硬件工程师,哈尔滨·南岗区·和兴,8-13K,3-5年本科,中睿科技,电子/半导体/集成电路20-99人,芯片/半导体/集成电路 通信相关专业 电子电气/自动化相关专业, 张女士, 
硬件工程师,硬件工程师,深圳·龙华区·大浪,15-30K,3-5年本科,豪恩汽车电子,其他行业已上市1000-9999人,汽车硬件产品 硬件开发经验 硬件项目管理经验 英语读写能力良好 超声波雷达 车载摄像头 ADAS, 张先生,节日福利，健身房，补充医疗保险，宿舍有空调，运动俱乐部，免费工装，包吃，员工旅游，带薪年假，生日福利，五险一金，团建聚餐，年终奖，定期体检，全勤奖，零食下午茶，股票期权
硬件工程师,硬件工程师,深圳·南山区·蛇口,15-30K,3-5年本科,辰卓科技,通信/网络设备A轮100-499人,芯片/半导体/集成电路 手机/电脑/通讯终端 高速电路设计, 肖女士,定期体检，补充医疗保险，全勤奖，节假日加班费，五险一金，节日福利，股票期权，交通补助，带薪年假，法定节假日三薪，零食下午茶，绩效奖金，年终奖，免费工装，员工旅游，团建聚餐，餐补，加班补助
硬件工程师,硬件工程师,合肥·蜀山区·科技园,9-11K·13薪,3-5年本科,科旭威尔,智能硬件A轮100-499人,电路设计, 刘女士,五险一金，通讯补贴，定期体检，带薪年假，年终奖，员工旅游，节日福利，加班补助，交通补助，餐补，零食下午茶
硬件工程师,硬件工程师,北京·海淀区·西二旗,15-30K·13薪,3-5年本科,智芯仿真,电子/半导体/集成电路A轮20-99人,PCB设计 Cadence HFSS ADS 电路设计 芯片设计 芯片验证, 王女士,交通补助，带薪年假，定期体检，年终奖，股票期权，加班补助，五险一金，餐补，节日福利，零食下午茶
硬件工程师,硬件工程师,北京,15-20K,3-5年本科,WISEMAY,电子/半导体/集成电路未融资20-99人,PCB设计 电路设计, 唐女士,五险一金，带薪年假，加班补助，定期体检，年终奖，零食下午茶，员工旅游，住房补贴，餐补
硬件工程师,硬件工程师,长春·二道区·中东大市场,8-12K·14薪,3-5年本科,长光辰芯光电,半导体/芯片A轮100-499人,芯片/半导体/集成电路, 孟先生,包吃，员工旅游，餐补，五险一金，股票期权，节日福利，带薪年假，年终奖
硬件工程师,硬件工程师,大连·甘井子区·山东路,6-11K,3-5年本科,柒润,服装/纺织0-20人,硬件工程师 电路设计 电子半导体 电子工程师 光学工程师 电子元器件工程师 硬件测试 电器/数码产品研发, 孙先生, 
硬件工程师,硬件工程师,广州·黄埔区·科学城,17-23K·15薪,3-5年本科,乾德生物,医疗器械不需要融资100-499人,STM32 步进电机 无刷电机 医疗器械, 唐先生,五险一金，定期体检，带薪年假，节日福利
硬件工程师,硬件工程师,合肥·蜀山区·新华学院,14-18K·15薪,3-5年本科,阳光电源股份有限公司,新能源已上市1000-9999人,芯片/半导体/集成电路 电子电气/自动化相关专业 硬件开发经验, 李先生,包吃，定期体检，带薪年假，免费班车，员工旅游，节假日加班费，宿舍有空调，通讯补贴，五险一金，节日福利，员工宿舍，工龄奖，团建聚餐，加班补助，绩效奖金，交通补助，补充医疗保险，包住，餐补，年终奖
硬件工程师,硬件工程师,北京·海淀区·西北旺,15-30K,3-5年本科,拓目科技,计算机软件未融资20-99人,音视频/显示类产品 PCB设计 硬件调试 原理图设计, 王女士,补充医疗保险，加班补助，全勤奖，年终奖，交通补助，零食下午茶，定期体检，带薪年假，员工旅游，五险一金
硬件工程师,硬件工程师,上海·嘉定区·外冈,9-14K,3-5年本科,炙云科技,新能源未融资20-99人,电池/电源类产品 硬件开发经验 电子电气/自动化相关专业 硬件项目管理经验, 陶女士,生日福利，绩效奖金，员工旅游，有无线网，五险一金，定期体检，通讯补贴，意外险，餐补，工龄奖，节日福利，夜班补助，带薪年假，团建聚餐，加班补助，零食下午茶，年终奖
硬件工程师,硬件工程师,苏州·虎丘区·科技城,11-22K·14薪,3-5年本科,东大医械所,医疗器械未融资20-99人,硬件工程师 电子工程师, 叶女士,交通补助，通讯补贴，生日福利，五险一金，团建聚餐，餐补，员工旅游，带薪年假，节日福利，定期体检，年终奖
硬件工程师,硬件工程师,金华·婺城区·金职院,7-11K,3-5年本科,塔石物联网,通信/网络设备未融资20-99人,硬件开发经验, 杨女士,团建聚餐，全勤奖，餐补，员工旅游，带薪年假，节日福利，定期体检，年终奖，五险一金，加班补助
硬件工程师,硬件工程师,南昌·西湖区·洪城大市场,4-9K,3-5年本科,浩鼎,计算机软件不需要融资20-99人,手机/电脑/通讯终端 智能硬件/可穿戴设备 计算机相关专业 硬件项目管理经验, 罗女士,节日福利，股票期权，员工旅游，通讯补贴，住房补贴，五险一金，年终奖，带薪年假，餐补，加班补助
硬件工程师,硬件工程师,深圳·宝安区·石岩,13-20K,3-5年本科,山龙智控,智能硬件B轮20-99人,电子电气/自动化相关专业 硬件开发经验 机械设计制造相关专业, 刘女士,团建聚餐，高温补贴，员工旅游，节假日加班费，五险一金，宿舍有空调，加班补助，年终奖，节日福利，带薪年假，全勤奖，餐补，生日福利，股票期权
