type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
移动端,产品经理 移动端,北京·海淀区·西二旗,15-25K,3-5年本科,来点别的,互联网未融资20-99人,数据产品 用户/功能产品 金融产品 互联网金融, 刘女士,定期体检，每年2次调薪，带薪病假，五险一金，弹性工作，补充医疗保险，带薪年假，8天年假，团建聚餐，全勤奖，节日福利，零食下午茶，交通补助，工龄奖，交通补贴，工龄补贴
移动端,美工 交互设计 移动端 程序设计,日照·东港区·日照,5-9K,3-5年本科,禾顺顺科技,电子商务A轮20-99人,PhotoShop CorelDRAW UI设计 网页设计 平面设计 全职兼职均可 AI CAD, 江女士,全勤奖，零食下午茶，员工旅游，餐补，年终奖，五险一金，带薪年假，包吃，定期体检，节日福利
移动端,java php 移动端 程序员,烟台·福山区·长江路,1-2K,3-5年本科,数图科技,计算机软件A轮20-99人,Java PHP, 王先生,股票期权，绩效奖金，团建聚餐，定期体检，节日福利，生日福利，五险一金，员工旅游，全勤奖，带薪年假，法定节假日三薪，节假日加班费，年终奖
移动端,移动端测试,上海·浦东新区·川沙,15-22K·14薪,3-5年本科,Cognizant,计算机软件已上市1000-9999人,MySQL 计算机相关专业 测试开发经验 H5/小程序测试经验 功能测试 电商 移动端测试, 王女士,餐补，免费班车，节日福利，五险一金，带薪年假，年终奖，定期体检，交通补助，补充医疗保险
移动端,移动端测试,海口·龙华区·金盘,3-6K,3-5年本科,海南博浩,互联网金融未融资0-20人,通信相关专业, 吴先生, 
移动端,移动端测试,昆明·五华区·南屏步行街,3-5K,3-5年本科,渺瀚商务信息咨询,咨询未融资0-20人,Python 计算机相关专业 通信相关专业, 李先生,加班补助，带薪年假，年终奖，定期体检，员工旅游
移动端,移动端测试,杭州·滨江区·长河,15-30K·16薪,3-5年本科,网易,互联网已上市10000人以上,测试工程师 自动化测试 Python Java 移动端 IM通讯 移动端测试, 孟女士,年终奖，全勤奖，定期体检，带薪年假，免费班车，补充医疗保险，五险一金，包吃，节日福利
移动端,移动端测试,西安·雁塔区·鱼化寨,100-200元/天,3-5年本科,饭乐科技,互联网不需要融资20-99人,APP测试 功能测试 Android测试 性能测试 Python Shell Appium, 卫先生,年终奖，股票期权，零食下午茶，五险一金，餐补，交通补助，包吃，定期体检，带薪年假，节日福利，员工旅游，补充医疗保险
移动端,移动端工程师,武汉·洪山区·街道口,15-20K,3-5年本科,武汉宝石科技有限公司,智能硬件不需要融资20-99人,前端开发经验 Flutter 跨平台开发, 汪女士,保底工资，年终奖，五险一金，包住，工龄奖，绩效奖金，底薪加提成，交通补助，宿舍有空调
移动端,移动端开发,无锡·滨湖区·太湖景区,11-20K,3-5年本科,金云智联,计算机软件未融资20-99人,Android客户端产品研发, 贺先生,保底工资，节日福利，五险一金，带薪年假，加班补助，团建聚餐，节假日加班费，法定节假日三薪，定期体检，通讯补贴，年终奖，交通补助，绩效奖金，意外险
移动端,移动端安全,武汉·洪山区·光谷,18-30K,3-5年本科,刀锋互娱,互联网A轮500-999人,Android逆向, 王女士,年终奖，周末双休，全勤奖，员工旅游，零食下午茶，带薪年假，加班补助，定期体检，节日福利
移动端,移动端测试,烟台·芝罘区·毓璜顶,6-11K,3-5年本科,海颐软件,计算机软件已上市500-999人,SQLite AndroidStudio Hybrid开发 Java, 牟先生,交通补助，零食下午茶，定期体检，包吃，带薪年假，住房补贴，年终奖，餐补，通讯补贴，加班补助，五险一金，节日福利
移动端,移动端测试,北京·海淀区·上地,13-20K,3-5年本科,百度,互联网已上市10000人以上,功能测试 性能测试 自动化测试, 周女士,员工旅游，定期体检，带薪年假，年终奖，住房补贴，免费班车，节日福利，娱乐健身，交通补助，五险一金，补充医疗保险，加班补助，通讯补贴，零食下午茶，餐补
移动端,移动端c++工程师,深圳·宝安区·西乡,20-40K·15薪,3-5年本科,影石Insta360,智能硬件D轮及以上1000-9999人,C++ 计算机相关专业 C++服务端开发经验 音视频相关开发经验, 林先生,五险一金，带薪年假，节日福利，定期体检，年终奖，零食下午茶
移动端,移动端产品经理,深圳,11-22K·13薪,3-5年本科,中腾信联,互联网20-99人,移动端产品, 王先生, 
移动端,移动端ios开发,郑州·管城回族区·郑州东站,15-25K,3-5年本科,牧原食品股份有限公司,农/林/牧/渔已上市10000人以上,功能开发, 马先生,节日福利，定期团建，补充医疗保险，生日福利，工龄奖，餐补，全勤奖，宿舍有空调，五险一金，交通补助，股票期权，包住，通讯补贴，定期体检，绩效奖金，员工旅游，五险一金，带薪年假，团建聚餐，年终奖
移动端,资深移动端工程师,北京·朝阳区·太阳宫,25-50K·15薪,3-5年本科,成都寮达科技有限公司,互联网不需要融资500-999人,Flutter, 张先生,餐补，五险一金，年终奖，股票期权，带薪年假
移动端,移动端产品经理,成都·双流区·华阳,15-30K·14薪,3-5年本科,热狗科技,互联网不需要融资20-99人,C端产品 客户端产品 移动端产品, 齐女士,餐补，五险一金，股票期权，带薪年假，定期体检
移动端,移动端产品经理,北京·朝阳区·望京,15-30K·14薪,3-5年本科,极客方舟,移动互联网不需要融资20-99人,移动端产品, 张女士,交通补助，零食下午茶，带薪年假，补充医疗保险，意外险，绩效奖金，定期体检，节假日加班费，生日福利，员工旅游，节日福利，团建聚餐，年终奖，法定节假日三薪，五险一金，股票期权，餐补
移动端,移动端技术高级专家,北京·海淀区·上地,40-70K·15薪,3-5年本科,滴滴,移动互联网D轮及以上1000-9999人,团队管理经验 架构设计 技术方案规划 移动端 ios Android, 刘女士,五险一金，补充医疗保险，定期体检
移动端,移动端混合开发,珠海·香洲区·吉大,10-15K,3-5年本科,赞同科技,互联网未融资1000-9999人,JavaScript CSS HTML 移动端 Android iOS 网络协议, 王先生,节日福利，补充公积金，带薪年假，定期体检，出差补助，五险一金
移动端,Flutter移动端工程师,西安·雁塔区·曲江新区,12-18K,3-5年本科,医链集团,医疗健康未融资100-499人,Flutter Swift Objective-C iOS, 耿女士,生日福利，节日福利，带薪年假，绩效奖金，五险一金
移动端,移动端产品经理,深圳·龙岗区·龙岗中心城,10-15K,3-5年本科,深圳爱剪辑,计算机软件20-99人,移动端产品 C端产品 增长产品, 于女士,员工旅游，年终奖，意外险，带薪年假，生日福利，五险一金，团建聚餐，定期体检，节日福利
移动端,移动端副leader,东莞,18-35K·16薪,3-5年本科,华锦新能源,储能A轮100-499人,Java 后端开发, 贾先生,团建聚餐，年终奖，节日福利，五险一金，保底工资，带薪年假，员工旅游，底薪加提成
移动端,移动端开发,西安·雁塔区·高新软件园,11-16K,3-5年本科,中软国际,计算机软件已上市10000人以上,Kotlin Android开发经验 ios swift, 宋女士,五险一金，加班补助，定期体检，免费班车，餐补，年终奖，员工旅游，带薪年假，节日福利，零食下午茶
移动端,前端/移动端,北京·朝阳区·望京,20-40K·15薪,3-5年本科,美团,互联网已上市10000人以上,Android客户端产品研发 架构设计/优化 研发流程优化 Java React Native 架构设计能力 计算机/软件工程相关专业 Android开发经验 前端开发经验, 陈先生,宿舍有空调
移动端,移动端开发,苏州·虎丘区·狮山,10-13K,3-5年本科,中讯邮电咨询设计院,移动互联网1000-9999人,Flutter React Native, 范女士, 
移动端,移动端推广运营,阜阳,6-11K,3-5年本科,河姆渡,移动互联网不需要融资500-999人,新媒体运营 移动端商城运营 移动端销售推广 电商平台 社区平台 社交平台 搜索引擎/平台 直播平台, 孙女士,年终奖，加班补助，股票期权，交通补助，带薪年假，定期体检，全勤奖，零食下午茶，免费班车，节日福利，五险一金，餐补，通讯补贴
移动端,移动端技术经理,苏州·昆山市·花桥,11-20K·14薪,3-5年本科,势之来数字科技,计算机软件不需要融资20-99人,Android客户端产品研发 架构设计/优化 研发流程优化 Java Flutter HTML5 计算机/软件工程相关专业 Android开发经验 架构经验, 梁女士,带薪年假，零食下午茶，五险一金，节日福利，年终奖，团建聚餐，员工旅游，餐补，保底工资
移动端,移动端测试,大连·甘井子区·高新园区,5-7K,3-5年本科,迪曼信息技术,计算机软件未融资20-99人,手机测试, 赵女士,通讯补贴，五险一金，加班补助，带薪年假，定期体检
移动端,移动端测试,长春·朝阳区·高新开发区,3-4K,经验不限大专,冰择科技,其他行业未融资20-99人,测试工程师, 张先生,员工旅游，年终奖，五险一金，带薪年假，节日福利
移动端,移动端测试,合肥·蜀山区·高新区,8-12K,经验不限大专,南京启新,在线教育0-20人,iOS/Android测试经验, 成先生, 
移动端,移动端开发,武汉·洪山区·黄家湖大学城,35-40元/时,经验不限大专,建普信息,计算机软件未融资0-20人,Java HTML5 计算机/软件工程相关专业 Android开发经验 前端开发经验, 王先生,五险一金
移动端,移动端测试,枣庄·滕州市·学院路,6-10K,经验不限大专,锦辉科技,交通/运输未融资20-99人,功能测试, 杨女士,包吃，节日福利，底薪加提成，员工旅游，保底工资，团建聚餐，绩效奖金
移动端,移动端测试,大连·金州区·开发区,3-6K,经验不限大专,腾联网络,电子商务天使轮20-99人,软件测试 测试 功能测试, 薛先生, 
移动端,移动端开发,武汉·江夏区·光谷,10-15K·13薪,经验不限大专,简亦·新,计算机软件未融资20-99人,Unity3D 计算机/软件工程相关专业 Unity3D开发经验, 杨先生,五险一金，餐补，全勤奖，股票期权，带薪年假，通讯补贴，交通补助，员工旅游，年终奖，加班补助，节日福利
移动端,移动端测试,连云港,4-5K,经验不限大专,网隆电商,电子商务0-20人,功能测试 性能测试 APP测试 手机测试 小程序测试 移动端自动化测试 iOS测试 Android测试, 王先生, 
移动端,移动端开发,泉州·南安市·康美镇,4-8K·13薪,经验不限大专,信成电子科技有限公司,通信/网络设备未融资0-20人,Android客户端产品研发 研发流程优化 Flutter 计算机/软件工程相关专业 前端开发经验, 林先生,团建聚餐，员工旅游，带薪年假，保底工资，节日福利，五险一金，绩效奖金，年终奖，零食下午茶
移动端,H5前端/移动端职位,西安,5-10K,经验不限大专,玖唐科技,计算机软件0-20人,计算机/软件工程相关专业 前端开发经验, 刘女士,加班补助，年终奖，带薪年假，员工旅游
移动端,移动端测试工程师,郑州·金水区·CBD,10-15K·13薪,经验不限大专,小熊博望,互联网未融资100-499人,iOS/Android测试经验 安卓 iOS app, 李女士,包吃，带薪年假，节日福利，年终奖，加班补助，零食下午茶，员工旅游，交通补助，补充医疗保险，股票期权，定期体检，五险一金
移动端,移动端技术合伙人,杭州·上城区·望江,15-20K,经验不限大专,共擎科技,计算机软件未融资0-20人,计算机/软件工程相关专业 混合开发经验 全栈开发经验 功能开发 性能优化 Objective-C Swift Flutter, 卢先生,股票期权
移动端,移动端测试工程师,衢州·柯城区·东方商厦,5-10K,经验不限大专,北京芯境,互联网20-99人,测试工程师 软件测试 性能测试 自动化测试 接口测试 移动端测试 Appium Monkey, 杨女士, 
