type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
网络安全,网络安全,银川·兴庆区·北门金三角,10-11K,1年以内大专,源君贸易,互联网0-20人,安全运维, 武先生, 
网络安全,网络安全,广州·天河区·五山,6-7K·14薪,1年以内大专,广州岭南智慧健康...,信息安全0-20人,安全运维和保障 Burp Suite Nmap 计算机/信息安全相关专业 安全运维经验 HCIP Ccnp 网络工程师, 庞先生, 
网络安全,网络安全,北京·昌平区·沙河,10-15K,1年以内大专,启明星辰,信息安全已上市1000-9999人,安全运维和保障, 康先生,通讯补贴，年终奖，意外险，交通补助，五险一金，补充医疗保险，定期体检，节日福利，带薪年假，餐补
网络安全,网络安全工程师,连云港·海州区·苍梧路,8-12K,1年以内大专,江苏瑞新,信息安全未融资100-499人,Linux MySQL SQL Server, 陈女士,五险一金，定期体检，年终奖，带薪年假，员工旅游
网络安全,网络安全工程师,广州·天河区·燕岭,4-6K,1年以内大专,钰展公司,信息安全0-20人,安全运维和保障 计算机/信息安全相关专业 云计算安全运维经验 安全运维经验, 庄女士, 
网络安全,网络安全运维,北京·海淀区·西北旺,15-30K,1年以内大专,华为云计算,计算机服务不需要融资10000人以上,安全运维和保障 安全体系架构和研发 Python Java 计算机/信息安全相关专业 安全运维经验 云计算安全运维经验, 吴先生,团建聚餐，零食下午茶，带薪年假，夜班补助，法定节假日三薪，免费班车，年终奖，保底工资，加班补助，定期体检，绩效奖金，员工旅游，意外险，交通补助，五险一金，补充医疗保险，节假日加班费
网络安全,网络安全工程师,北京·顺义区·首都机场,12-15K,1年以内大专,微赫科技,信息安全不需要融资20-99人,安全运维和保障 CISSP/CISP, 鲁先生,法定节假日三薪，五险一金
网络安全,网络安全讲师,深圳·宝安区·西乡,11-16K,1年以内大专,必安提,在线教育不需要融资20-99人,WAF、HIDS 安全漏洞、情报应急 修复安全漏洞, 罗女士,全勤奖，节日福利，餐补，员工旅游，股票期权，加班补助，带薪年假，交通补助，零食下午茶，底薪加提成，通讯补贴，年终奖，有无线网，绩效奖金，团建聚餐，五险一金
网络安全,网络安全实习生,北京·海淀区·苏州桥,190-200元/天,1年以内大专,微步在线,信息安全D轮及以上500-999人,安全体系架构和研发, 梁女士,司龄假，补充医疗保险，餐补，五险一金，意外险，节日福利，交通补助，免费工装，包吃，员工旅游，生日福利，年终奖，定期体检，通讯补贴，团建聚餐，带薪年假，股票期权，零食下午茶
网络安全,网络安全工程师,杭州·拱墅区·城西银泰城,13-20K,1年以内大专,美创科技,信息安全D轮及以上500-999人,渗透测试经验 攻防对抗经验 云计算安全运维经验 CISSP/CISP, 叶先生,年终奖，带薪年假，股票期权，员工旅游，五险一金，定期体检，补充医疗保险
网络安全,网络安全工程师,湖州·吴兴区·仁皇山,7-9K·13薪,1年以内大专,浙江公众信息产业,通信/网络设备不需要融资500-999人,安全运维和保障 计算机/信息安全相关专业 安全运维经验 渗透测试经验 CISSP/CISP, 徐先生,定期体检，餐补，带薪年假，加班补助，五险一金，生日福利，补充医疗保险，节日福利，员工旅游，通讯补贴，交通补助，住房补贴，年终奖，高温补贴
网络安全,网络安全工程师,成都·双流区·华阳,9-14K,1年以内大专,国科科技,计算机软件B轮1000-9999人,安全体系架构和研发, 彭女士,五险一金，生日礼金，全勤奖，年终奖，定期体检，节日福利，团建经费，员工旅游，职业培训，股票期权，带薪年假
网络安全,网络安全实习生,贵阳·观山湖区·长岭南路,80-120元/天,1年以内大专,优服科技,通信/网络设备未融资20-99人,网络 Windows 安全运维 网络安全 网络交换技术 运维工程师 IT技术支持 网络运维, 徐先生,股票期权，补充医疗保险，带薪年假，员工旅游，餐补，五险一金，定期体检
网络安全,网络安全工程师,北京·丰台区·六里桥,8-10K·15薪,1年以内大专,正本源,企业服务20-99人,安全运维和保障 Nginx MySQL 安全运维经验 计算机/信息安全相关专业 渗透测试经验 CISSP/CISP CISM CISA, 彭女士, 
网络安全,网络安全研究人员,长沙,12-24K,1年以内大专,北京大学长沙计算...,计算机软件100-499人,计算机/信息安全相关专业, 周女士, 
网络安全,网络安全工程师,嘉兴,6-10K·13薪,1年以内大专,元颉新材料,化工A轮20-99人,安全运维和保障, 黄女士,员工旅游，住房补贴，工龄奖，高温补贴，带薪年假，包吃，节日福利，年终奖，五险一金
网络安全,网络安全工程师,广州·番禺区·石楼,5-10K,1年以内大专,徳克丹伟,计算机软件0-20人,计算机/信息安全相关专业, 王女士, 
网络安全,网络安全工程师,北京·丰台区·菜户营,10-15K,1年以内大专,御网天行,计算机软件未融资20-99人,信息安全 运维工程师 数据安全 网络安全工程师, 宋女士,节日福利，带薪年假，加班补助，年终奖，五险一金，员工旅游，提供早餐午餐
