type,job_title,job_area,salary,condition,company_title,company_info,skill,publis_name,welfare
运维工程师,运维工程师 8-10k,东莞·南城街道·南城,8-10K,1-3年大专,谷睿科技,计算机软件未融资0-20人,运维工程师 网络运维 自动化运维 Shell Python Java 分布式技术 容器技术, 王先生,五险一金，年终奖，员工旅游
运维工程师,运维工程师,广州·越秀区·沿江路,12-18K,1-3年大专,广东联网售票,移动互联网不需要融资20-99人,运维 数据库 网络, 冷女士, 
运维工程师,运维工程师,合肥·瑶海区·七里塘,4-5K,1-3年大专,彩虹蓝光,电子/半导体/集成电路500-999人,IT支持 系统运维 网络, 王先生, 
运维工程师,运维工程师,合肥·肥西县·高新区,5-6K,1-3年大专,原力知觉科技有限公司,医疗器械20-99人,系统运维, 彭先生, 
运维工程师,运维工程师,广州·花都区·狮岭,5-7K,1-3年大专,东锦皮革,回收/维修20-99人,数码印花机器维修, 李先生, 
运维工程师,运维工程师,北京,5-6K,1-3年大专,拓明科技,计算机软件未融资500-999人,Linux 系统运维 Oracle 存储运维, 林先生,五险一金，带薪年假，餐补，通讯补贴
运维工程师,运维工程师,上海,12-18K,1-3年大专,高嘉科技,信息安全未融资20-99人,系统运维 运维经验 虚拟化 存储, 卢先生,年终奖，通讯补贴，节日福利，带薪年假，五险一金，交通补助，员工旅游，零食下午茶
运维工程师,运维工程师,西安·雁塔区·小寨,4-6K,1-3年大专,鑫邦亚,仪器仪表/工业自动化0-20人,网络运维 系统运维 计算机相关专业 电子/电气/自动化相关专业 通信相关专业, 郑女士, 
运维工程师,运维工程师,济南·历下区·泺源大街,4-6K,1-3年大专,翰林科技,计算机软件不需要融资100-499人,网络运维 IDC机房运维, 徐女士,定期体检，五险一金，年终奖，节日福利，补充医疗保险，员工旅游，法定节假日三薪，意外险，带薪年假，生日福利，工龄奖，住房补贴
运维工程师,运维工程师,上海·浦东新区·南码头,18-25K,1-3年大专,浙江铝拓科技有限公司,互联网不需要融资20-99人,系统运维 计算机相关专业, 徐女士,餐补，五险一金，节日福利，带薪年假，定期体检，单间住宿，加班补助，出差补贴，交通补助
运维工程师,运维工程师,西安·雁塔区·沣惠南路,4-8K,1-3年大专,恒曜科技,计算机软件未融资100-499人,系统运维 运维开发/DevOps Python/Shell Nginx 计算机相关专业 通信相关专业 运维经验, 耿女士,定期体检，五险一金，意外险，补充医疗保险
运维工程师,运维工程师,合肥·瑶海区·城东,3-5K,1-3年大专,合肥御彩,计算机硬件0-20人,硬件 机房运维, 王先生, 
